2026-03-17 10:14:53 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:14:53 | INFO     | trading_bot.auth.login       | Login SUCCESS — client=T12345  feed_token=feed_test_to…
2026-03-17 10:14:53 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:14:53 | ERROR    | trading_bot.auth.login       | Login FAILED: Invalid credentials
2026-03-17 10:14:53 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:14:53 | INFO     | trading_bot.auth.login       | Login SUCCESS — client=T12345  feed_token=feed_123…
2026-03-17 10:14:53 | INFO     | trading_bot.auth.login       | Session terminated for T12345
2026-03-17 10:14:53 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:14:53 | INFO     | trading_bot.auth.login       | Login SUCCESS — client=T12345  feed_token=feed_abc…
2026-03-17 10:41:54 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:41:54 | INFO     | trading_bot.auth.login       | Login SUCCESS — client=T12345  feed_token=feed_test_to…
2026-03-17 10:41:54 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:41:54 | ERROR    | trading_bot.auth.login       | Login FAILED: Invalid credentials
2026-03-17 10:41:54 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:41:54 | INFO     | trading_bot.auth.login       | Login SUCCESS — client=T12345  feed_token=feed_123…
2026-03-17 10:41:54 | INFO     | trading_bot.auth.login       | Session terminated for T12345
2026-03-17 10:41:54 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:41:54 | INFO     | trading_bot.auth.login       | Login SUCCESS — client=T12345  feed_token=feed_abc…
2026-03-17 10:43:41 | INFO     | main                         | ============================================================
2026-03-17 10:43:41 | INFO     | main                         |   PROJECT CANDLES — NIFTY OPTIONS AUTO TRADING SYSTEM
2026-03-17 10:43:41 | INFO     | main                         |   Mode : PAPER
2026-03-17 10:43:41 | INFO     | main                         |   Time : 2026-03-17 10:43:41 IST
2026-03-17 10:43:41 | INFO     | main                         | ============================================================
2026-03-17 10:43:41 | INFO     | trading_bot.data.store       | Database initialized at C:\Users\Sushma\Desktop\AngelOne\trading_bot\trading_bot.db
2026-03-17 10:43:41 | CRITICAL | main                         | Authentication FAILED — aborting: ANGEL_API_KEY is not configured. Update your .env
2026-03-17 10:48:11 | INFO     | main                         | ============================================================
2026-03-17 10:48:11 | INFO     | main                         |   PROJECT CANDLES — NIFTY OPTIONS AUTO TRADING SYSTEM
2026-03-17 10:48:11 | INFO     | main                         |   Mode : PAPER
2026-03-17 10:48:11 | INFO     | main                         |   Time : 2026-03-17 10:48:11 IST
2026-03-17 10:48:11 | INFO     | main                         | ============================================================
2026-03-17 10:48:11 | INFO     | trading_bot.data.store       | Database initialized at C:\Users\Sushma\Desktop\AngelOne\trading_bot\trading_bot.db
2026-03-17 10:48:11 | INFO     | trading_bot.auth.login       | Authenticating with AngelOne SmartAPI …
2026-03-17 10:48:12 | INFO     | trading_bot.auth.login       | Login SUCCESS — client=AABW062325  feed_token=eyJhbGciOiJI…
2026-03-17 10:48:12 | INFO     | main                         | SmartAPI session ready.
2026-03-17 10:48:12 | INFO     | main                         | [STUB] Fetch historical candles …
2026-03-17 10:48:12 | INFO     | main                         | [STUB] Compute indicators …
2026-03-17 10:48:12 | INFO     | main                         | [STUB] Start WebSocket live feed …
2026-03-17 10:48:12 | INFO     | main                         | [STUB] Start Flask dashboard on port 5000 …
2026-03-17 10:48:12 | INFO     | main                         | Entering main trading loop. Press CTRL+C to stop.
2026-03-17 10:50:23 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:23 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:24 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:25 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:25 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:26 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:26 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:26 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:26 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:26 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:27 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
2026-03-17 10:50:27 | INFO     | main                         | Shutdown signal received (sig=2). Cleaning up …
